en,pl
words,słowa
sounds,Brzmi
to go,pójść
it's necessary to,trzeba
face (cara),twarzy
met,poznał
normal | ordinary,zwykłą
entered,weszła
gained (a new friend),zyskał
free,wolnych
to find,znaleźć
exited,wyszedł
believe,wierzyć
He said goodbye,Pożegnał
friendship,przyjaźń
give up,poddawać
He knew,Wiedział
table,stolików
fulfilled,spełniło
zbyt szybko,too fast
because,ponieważ
dream,marzenie
"After a while,",Po chwili
smile,uśmiechem
After a while,Po chwili
appreciated,doceniony
wonderful,wspaniałą
Why?,Dlaczego?
you will,zostaniesz
learned,dowiedział
In addition,Na dodatek
teenage girl,nastolatką
in front of you,przed sobą
I will tell you,Opowiem ci
It turned out,Okazało się
he recalled,przypomniał
friend,przyjaciela
He got his dream job,Dostał pracę
tomorrow at 8 AM,Jutro o 8:00
she replied,odpowiedziała
asked Tomek,zapytał Tomek
Before the interview,Przed rozmową
"what is more,","a na dodatek ,"
I will prepare you,przygotuję cię
come at 7:30,przyjdź na 7:30
Sounds great!,Brzmi świetnie!
about our company,o naszej firmie
lucky day,szczęśliwy dzień
If you have talent,Jeśli masz talent
She sat with Tomek,Usiadła z Tomkiem
He realized,Zdał sobie sprawę
Tomek got the job,Tomek dostał pracę
You start work,rozpoczynasz pracę
Sometimes your talent,Czasem twój talent
The woman and the man,Kobieta i mężczyzna
sooner or later,prędzej czy później
said goodbye to him,pożegnała się z nim
After entering the office,Po wejściu do biura
became friends,zostali przyjaciółmi
because after graduating,ponieważ po studiach
Karolina said,powiedziała Karolina
you will be appreciated,zostaniesz doceniony
One day he decided,Tego dnia postanowił
Tomek learned,"Tomek dowiedział się,"
knowledge and skills,wiedzę i umiejętności
with a big smile on his face,z uśmiechem na twarzy
she was the recruiter,to ona była rekruterem
show you our building,pokażę ci nasz budynek
he couldn’t find a job,nie mógł znaleźć pracy
Tomek decided to go,Tomek postanowił pójść
Tomek noticed Karolina,Tomek zauważył Karolinę
We will meet at the café,Spotkamy się w kawiarni
you have to believe in yourself,trzeba w siebie wierzyć
she was working in the company,"ona pracowała w firmie,"
for your first day of work,na pierwszy dzień pracy
he met an amazing person,poznał bardzo miłą osobę
what he dreamed about in college,o czym marzył na studiach
He said goodbye to the secretary,Pożegnał się z sekretarką
which  he wanted to work in,której on chciał pracować
he just met a new friend,zyskał nowego przyjaciela
there weren’t any tables left,nie było wolnych stolików
His dream was fulfilled,Jego marzenie się spełniło
The café was full of people,Kawiarnia była pełna ludzi
Karolina looked at his résumé,Karolina obejrzała jego CV
See you tomorrow then!,"Zatem, do zobaczenia jutro!"
friendship with a wonderful person,przyjaźń ze wspaniałą osobą
This was his lucky day,To był jego szczęśliwy dzień
Sylvia was a normal teenage girl,Sylwia była zwykłą nastolatką
"where the interview was supposed to take place,",gdzie miała odbyć się rozmowa
Tomek was really nervous,Tomek był bardzo zdenerwowany
Tomek walked out of Karolina’s office,Tomek wyszedł z biura Karoliny
to a café to prepare,do kawiarni aby się przygotować
he had a wonderful career,ma przed sobą wspaniałą karierę
he recalled Karolina’s words,przypomniał sobie słowa Karoliny
After attending ten interviews,Po dziesięciu rozmowach dostał to
to go to the last job interview,pójść na ostatnią rozmowę o pracę
you can’t give up too fast,nie można poddawać się zbyt szybko
into the café a woman came —Karolina,do kawiarni weszła kobieta—Karolina
your skills need a little bit of luck,umiejętności potrzebują trochę szczęścia
